;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
60;True;True;adam;0.01;50;0.6739264022985845;0.10832025110721588;0.6649767734940797;0.10204081982374193;0.675421489931912;0.10989011079072952;125.0;204.0;129.0;0.01
61;True;False;adam;0.01;50;0.6625237418119351;0.11616954207420348;0.6521149418979088;0.12087912112474443;0.6558846065911992;0.12558870017528534;94.0;115.0;99.0;0.01
62;False;True;adam;0.01;50;0.6598928012129276;0.1051805317401886;0.666486997245058;0.10989011079072952;0.6691073182052121;0.0941915214061737;101.0;131.0;94.0;0.01
63;False;False;adam;0.01;50;0.6583586228511397;0.12244898080825806;0.6548159024217627;0.11616954207420348;0.6553002555666014;0.12244898080825806;127.0;111.0;108.0;0.01
64;True;True;adam;0.01;50;0.6608513376589286;0.10832025110721588;0.665885466234276;0.11459968239068985;0.6674588934592961;0.1130298301577568;155.0;126.0;112.0;0.001
65;True;False;adam;0.01;50;0.6590089433982945;0.11930926144123075;0.6536410166479916;0.12244898080825806;0.6551546137224374;0.10832025110721588;107.0;159.0;113.0;0.001
66;False;True;adam;0.01;50;0.6566461649382694;0.11773940175771712;0.6556848612273319;0.1240188404917717;0.6503251845271472;0.12244898080825806;105.0;106.0;94.0;0.001
67;False;False;adam;0.01;50;0.6578093701666528;0.11616954207420348;0.6589562604715536;0.11459968239068985;0.6624126205077538;0.12244898080825806;127.0;118.0;103.0;0.001
68;True;True;adam;0.01;50;0.6555349725756203;0.12558870017528534;0.664363157431035;0.11773940175771712;0.6633304510984915;0.12087912112474443;119.0;142.0;160.0;0.0001
69;True;False;adam;0.01;50;0.6495279570576534;0.12087912112474443;0.6583492356342274;0.11145997047424316;0.6535487000010264;0.1240188404917717;133.0;111.0;101.0;0.0001
70;False;True;adam;0.01;50;0.6518638512029004;0.10832025110721588;0.6547022903545685;0.12558870017528534;0.6508595021777849;0.13029827177524567;90.0;94.0;104.0;0.0001
71;False;False;adam;0.01;50;0.6584952004850378;0.10989011079072952;0.6568657192555103;0.11616954207420348;0.6561565026757855;0.12715855240821838;116.0;121.0;118.0;0.0001
